place_id,name,address,phone,international_phone,website,rating,review_count,business_status,types,latitude,longitude,google_maps_url,final_url,emails,phone_found_on_site,contact_page,about_page,booking_page,instagram,facebook,linkedin,x,tiktok,youtube,has_contact_form,has_booking,booking_hint,tech_stack,crawl_status,lead_score,pitch_angle
ChIJhS0Oc1YyjoAREV7f4agAY-U,Thanh's Auto Services & Repair,"2851 Monterey Rd, San Jose, CA 95111, USA",(408) 227-8622,+1 408-227-8622,,4.8,123,OPERATIONAL,car_repair|establishment|point_of_interest,37.2913889,-121.8505556,https://maps.google.com/?cid=16529055782723870225,,,,,,,,,,,,,FALSE,FALSE,,,unsafe_host,45,Weak contact path: pitch AI receptionist + SMS lead capture
ChIJ7_IlKYnMj4ARN3FxZEzZDxo,Mikee's Auto Repair,"698 N 13th St, San Jose, CA 95112, USA",(408) 287-1105,+1 408-287-1105,,4.5,97,OPERATIONAL,car_repair|establishment|point_of_interest,37.354866,-121.8873672,https://maps.google.com/?cid=1877958491762684215,,,,,,,,,,,,,FALSE,FALSE,,,unsafe_host,45,Weak contact path: pitch AI receptionist + SMS lead capture
ChIJ_6WrzyrNj4ARHupgHk1ZtBs,Rodriguez Auto Repair,"299 S 24th St #2, San Jose, CA 95116, USA",(408) 903-6412,+1 408-903-6412,https://www.vehiclecarenetwork.com/california-vcn-shops/rodriguez-auto-repair,4.7,55,OPERATIONAL,car_repair|establishment|point_of_interest,37.3421997,-121.8634904,https://maps.google.com/?cid=1996318722588994078,,,,,,,,,,,,,FALSE,FALSE,,,homepage_failed,45,Weak contact path: pitch AI receptionist + SMS lead capture
ChIJ160QTXTMj4ARrf6GgECVt2o,Best Auto Repair,"694 Kings Row, San Jose, CA 95112, USA",(408) 499-6378,+1 408-499-6378,http://bestautorepairsj.com/,4.7,28,OPERATIONAL,car_repair|establishment|point_of_interest,37.3718968,-121.8987799,https://maps.google.com/?cid=7689778993025187501,,,,,,,,,,,,,FALSE,FALSE,,,unsafe_host,45,Weak contact path: pitch AI receptionist + SMS lead capture
ChIJz0y3uqnMj4AR1YlCsIPuTcg,GIC Car Clinic,"375 Barack Obama Blvd, San Jose, CA 95126, USA",(408) 617-9775,+1 408-617-9775,https://autorepairshopsanjose.com/,4.7,643,OPERATIONAL,car_repair|establishment|point_of_interest,37.3236199,-121.9000738,https://maps.google.com/?cid=14433454630157584853,,,,,,,,,,,,,FALSE,FALSE,,,homepage_failed,40,Weak contact path: pitch AI receptionist + SMS lead capture
ChIJnWTmL1HLj4ARvUkAjXVT79M,Dhillon Motorsports Tire and Auto,"646 Auzerais Ave, San Jose, CA 95126, USA",(408) 999-0699,+1 408-999-0699,http://www.dhillonmotorsports.com/,4.9,933,OPERATIONAL,car_repair|establishment|point_of_interest|store,37.3228625,-121.8998021,https://maps.google.com/?cid=15271516625778526653,https://www.dhillonmotorsports.com/,,(408) 320-0238,https://www.dhillonmotorsports.com/contactus,https://www.dhillonmotorsports.com/about-us,,https://www.instagram.com/therealdhillonmotorsports/,https://www.facebook.com/DhillonMotorsports/,,,,,TRUE,TRUE,schedule,,ok,38,Strong business: pitch overflow call handling and after-hours conversion
ChIJG9k0x-c1joARb1Tutgm6cC4,Alvin's Auto Center,"850 Lincoln Ave, San Jose, CA 95126, USA",(408) 564-0867,+1 408-564-0867,https://www.alvinsautocenter.com/,4.9,356,OPERATIONAL,car_repair|establishment|point_of_interest,37.314867,-121.9051075,https://maps.google.com/?cid=3346379074022823023,https://www.alvinsautocenter.com/,,(408) 944-5459,,https://www.alvinsautocenter.com/about-us,,,https://www.facebook.com/pages/category/Automotive-Repair-Shop/Alvins-Auto-Center-150035048372516/,,,,,TRUE,TRUE,schedule,,ok,38,Strong business: pitch overflow call handling and after-hours conversion
ChIJEfq3xhUyjoARGbYX7x2e7Ts,Go To Auto Care,"4236 Monterey Rd A, San Jose, CA 95111, USA",(408) 281-2040,+1 408-281-2040,http://www.gotoautocaresj.com/,4.9,308,OPERATIONAL,car_repair|establishment|point_of_interest,37.276038,-121.831614,https://maps.google.com/?cid=4318281469120722457,https://www.gotoautocaresj.com/,,1 (408) 281-2040,https://www.gotoautocaresj.com/contact,https://www.gotoautocaresj.com/about,,,,,,,,TRUE,TRUE,schedule,,ok,38,Strong business: pitch overflow call handling and after-hours conversion
ChIJQxhQfFPLj4ARUEGK5ofWc1g,L & T Auto Repair,"701 Lincoln Ave, San Jose, CA 95126, USA",(408) 279-9301,+1 408-279-9301,https://www.vehiclecarenetwork.com/california-vcn-shops/l-%26-t-auto-repair,4.9,116,OPERATIONAL,car_repair|establishment|point_of_interest,37.3166807,-121.9079282,https://maps.google.com/?cid=6373673776836133200,,,,,,,,,,,,,FALSE,FALSE,,,homepage_failed,38,Weak contact path: pitch AI receptionist + SMS lead capture
ChIJB7zJ92PMj4AR4VxycjoBYfs,Diamond Auto Repair,"995 Berryessa Rd, San Jose, CA 95133, USA",(408) 453-1990,+1 408-453-1990,,4.9,41,OPERATIONAL,car_repair|establishment|point_of_interest,37.3645351,-121.8855824,https://maps.google.com/?cid=18113760526800674017,,,,,,,,,,,,,FALSE,FALSE,,,unsafe_host,38,Weak contact path: pitch AI receptionist + SMS lead capture
